DAILY_COUNT,date
5651,2021/01/01
5841,2021/01/02
6049,2021/01/03
6346,2021/01/04
6212,2021/01/05
5875,2021/01/06
4387,2021/01/07
5128,2021/01/08
5589,2021/01/09
5794,2021/01/10
5982,2021/01/11
5950,2021/01/12
5916,2021/01/13
5447,2021/01/14
5365,2021/01/15
5320,2021/01/16
5556,2021/01/17
5584,2021/01/18
5215,2021/01/19
5417,2021/01/20
5424,2021/01/21
5169,2021/01/22
4917,2021/01/23
5135,2021/01/24
5327,2021/01/25
5149,2021/01/26
5122,2021/01/27
4566,2021/01/28
4742,2021/01/29
4601,2021/01/30
4463,2021/01/31
5175,2021/02/01
4849,2021/02/02
5038,2021/02/03
4502,2021/02/04
4737,2021/02/05
4319,2021/02/06
3927,2021/02/07
4969,2021/02/08
4671,2021/02/09
4300,2021/02/10
1707,2021/02/11
1385,2021/02/12
2077,2021/02/13
2552,2021/02/14
3265,2021/02/15
3905,2021/02/16
4412,2021/02/17
5070,2021/02/18
5014,2021/02/19
4231,2021/02/20
4773,2021/02/21
5090,2021/02/22
5020,2021/02/23
5031,2021/02/24
4451,2021/02/25
4483,2021/02/26
4629,2021/02/27
4384,2021/02/28
4085,2021/03/01
4351,2021/03/02
4836,2021/03/03
4512,2021/03/04
4532,2021/03/05
4715,2021/03/06
4698,2021/03/07
4959,2021/03/08
4783,2021/03/09
4754,2021/03/10
4491,2021/03/11
4628,2021/03/12
4748,2021/03/13
5031,2021/03/14
5014,2021/03/15
4946,2021/03/16
5092,2021/03/17
4891,2021/03/18
5179,2021/03/19
5202,2021/03/20
5320,2021/03/21
5293,2021/03/22
5259,2021/03/23
5372,2021/03/24
5001,2021/03/25
4968,2021/03/26
4923,2021/03/27
5423,2021/03/28
5379,2021/03/29
5088,2021/03/30
5271,2021/03/31
4997,2021/04/01
4804,2021/04/02
4736,2021/04/03
4955,2021/04/04
5481,2021/04/05
5349,2021/04/06
5375,2021/04/07
5108,2021/04/08
5165,2021/04/09
5291,2021/04/10
5502,2021/04/11
5532,2021/04/12
5316,2021/04/13
5251,2021/04/14
5265,2021/04/15
5016,2021/04/16
5147,2021/04/17
5568,2021/04/18
5477,2021/04/19
5521,2021/04/20
5534,2021/04/21
5026,2021/04/22
5191,2021/04/23
5336,2021/04/24
4797,2021/04/25
5435,2021/04/26
5307,2021/04/27
5575,2021/04/28
5289,2021/04/29
5305,2021/04/30
5121,2021/05/01
4945,2021/05/02
5423,2021/05/03
5436,2021/05/04
5759,2021/05/05
5390,2021/05/06
5487,2021/05/07
4712,2021/05/08
5989,2021/05/09
5620,2021/05/10
5430,2021/05/11
5691,2021/05/12
5464,2021/05/13
5256,2021/05/14
5439,2021/05/15
5537,2021/05/16
5727,2021/05/17
5613,2021/05/18
5882,2021/05/19
5492,2021/05/20
5356,2021/05/21
5506,2021/05/22
5697,2021/05/23
6225,2021/05/24
5782,2021/05/25
6079,2021/05/26
5631,2021/05/27
5633,2021/05/28
5654,2021/05/29
5809,2021/05/30
6043,2021/05/31
5482,2021/06/01
6146,2021/06/02
5630,2021/06/03
5530,2021/06/04
5890,2021/06/05
6006,2021/06/06
6240,2021/06/07
6344,2021/06/08
6328,2021/06/09
5888,2021/06/10
5415,2021/06/11
5530,2021/06/12
5766,2021/06/13
6131,2021/06/14
5749,2021/06/15
6269,2021/06/16
5828,2021/06/17
5591,2021/06/18
5382,2021/06/19
5968,2021/06/20
6214,2021/06/21
5953,2021/06/22
6301,2021/06/23
5963,2021/06/24
6025,2021/06/25
5827,2021/06/26
5964,2021/06/27
6249,2021/06/28
5816,2021/06/29
6589,2021/06/30
6066,2021/07/01
5700,2021/07/02
