DAILY_COUNT,date,maxtempC,mintempC,weatherCode,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,DAILY_COUNT_lag_1,DAILY_COUNT_lag_2,DAILY_COUNT_lag_3,DAILY_COUNT_lag_4,DAILY_COUNT_lag_5,DAILY_COUNT_lag_6,DAILY_COUNT_lag_7,DAILY_COUNT_lag_8,DAILY_COUNT_lag_9,DAILY_COUNT_lag_10,month,day,year,holiday_,holiday_中秋节,holiday_元旦,holiday_劳动节,holiday_国庆节,holiday_春节,holiday_清明节,holiday_端午节
5982,2021-01-11,2,-2,122,1,0,0,0,0,0,0,5794.0,5589.0,5128.0,4387.0,5875.0,6212.0,6346.0,6049.0,5841.0,5651.0,1,11,2021,1,0,0,0,0,0,0,0
5950,2021-01-12,4,0,113,0,1,0,0,0,0,0,5982.0,5794.0,5589.0,5128.0,4387.0,5875.0,6212.0,6346.0,6049.0,5841.0,1,12,2021,1,0,0,0,0,0,0,0
5916,2021-01-13,7,1,113,0,0,1,0,0,0,0,5950.0,5982.0,5794.0,5589.0,5128.0,4387.0,5875.0,6212.0,6346.0,6049.0,1,13,2021,1,0,0,0,0,0,0,0
5447,2021-01-14,6,4,113,0,0,0,1,0,0,0,5916.0,5950.0,5982.0,5794.0,5589.0,5128.0,4387.0,5875.0,6212.0,6346.0,1,14,2021,1,0,0,0,0,0,0,0
5365,2021-01-15,6,-3,119,0,0,0,0,1,0,0,5447.0,5916.0,5950.0,5982.0,5794.0,5589.0,5128.0,4387.0,5875.0,6212.0,1,15,2021,1,0,0,0,0,0,0,0
5320,2021-01-16,-1,-3,113,0,0,0,0,0,1,0,5365.0,5447.0,5916.0,5950.0,5982.0,5794.0,5589.0,5128.0,4387.0,5875.0,1,16,2021,1,0,0,0,0,0,0,0
5556,2021-01-17,2,-2,113,0,0,0,0,0,0,1,5320.0,5365.0,5447.0,5916.0,5950.0,5982.0,5794.0,5589.0,5128.0,4387.0,1,17,2021,1,0,0,0,0,0,0,0
5584,2021-01-18,3,-2,113,1,0,0,0,0,0,0,5556.0,5320.0,5365.0,5447.0,5916.0,5950.0,5982.0,5794.0,5589.0,5128.0,1,18,2021,1,0,0,0,0,0,0,0
5215,2021-01-19,4,-1,122,0,1,0,0,0,0,0,5584.0,5556.0,5320.0,5365.0,5447.0,5916.0,5950.0,5982.0,5794.0,5589.0,1,19,2021,1,0,0,0,0,0,0,0
5417,2021-01-20,7,3,122,0,0,1,0,0,0,0,5215.0,5584.0,5556.0,5320.0,5365.0,5447.0,5916.0,5950.0,5982.0,5794.0,1,20,2021,1,0,0,0,0,0,0,0
5424,2021-01-21,7,3,122,0,0,0,1,0,0,0,5417.0,5215.0,5584.0,5556.0,5320.0,5365.0,5447.0,5916.0,5950.0,5982.0,1,21,2021,1,0,0,0,0,0,0,0
5169,2021-01-22,5,2,122,0,0,0,0,1,0,0,5424.0,5417.0,5215.0,5584.0,5556.0,5320.0,5365.0,5447.0,5916.0,5950.0,1,22,2021,1,0,0,0,0,0,0,0
4917,2021-01-23,6,1,122,0,0,0,0,0,1,0,5169.0,5424.0,5417.0,5215.0,5584.0,5556.0,5320.0,5365.0,5447.0,5916.0,1,23,2021,1,0,0,0,0,0,0,0
5135,2021-01-24,5,-1,119,0,0,0,0,0,0,1,4917.0,5169.0,5424.0,5417.0,5215.0,5584.0,5556.0,5320.0,5365.0,5447.0,1,24,2021,1,0,0,0,0,0,0,0
5327,2021-01-25,6,1,122,1,0,0,0,0,0,0,5135.0,4917.0,5169.0,5424.0,5417.0,5215.0,5584.0,5556.0,5320.0,5365.0,1,25,2021,1,0,0,0,0,0,0,0
5149,2021-01-26,7,3,122,0,1,0,0,0,0,0,5327.0,5135.0,4917.0,5169.0,5424.0,5417.0,5215.0,5584.0,5556.0,5320.0,1,26,2021,1,0,0,0,0,0,0,0
5122,2021-01-27,4,2,119,0,0,1,0,0,0,0,5149.0,5327.0,5135.0,4917.0,5169.0,5424.0,5417.0,5215.0,5584.0,5556.0,1,27,2021,1,0,0,0,0,0,0,0
4566,2021-01-28,4,-6,113,0,0,0,1,0,0,0,5122.0,5149.0,5327.0,5135.0,4917.0,5169.0,5424.0,5417.0,5215.0,5584.0,1,28,2021,1,0,0,0,0,0,0,0
4742,2021-01-29,4,-3,113,0,0,0,0,1,0,0,4566.0,5122.0,5149.0,5327.0,5135.0,4917.0,5169.0,5424.0,5417.0,5215.0,1,29,2021,1,0,0,0,0,0,0,0
4601,2021-01-30,6,2,116,0,0,0,0,0,1,0,4742.0,4566.0,5122.0,5149.0,5327.0,5135.0,4917.0,5169.0,5424.0,5417.0,1,30,2021,1,0,0,0,0,0,0,0
4463,2021-01-31,6,3,119,0,0,0,0,0,0,1,4601.0,4742.0,4566.0,5122.0,5149.0,5327.0,5135.0,4917.0,5169.0,5424.0,1,31,2021,1,0,0,0,0,0,0,0
5175,2021-02-01,7,-1,113,1,0,0,0,0,0,0,4463.0,4601.0,4742.0,4566.0,5122.0,5149.0,5327.0,5135.0,4917.0,5169.0,2,1,2021,1,0,0,0,0,0,0,0
4849,2021-02-02,2,-4,113,0,1,0,0,0,0,0,5175.0,4463.0,4601.0,4742.0,4566.0,5122.0,5149.0,5327.0,5135.0,4917.0,2,2,2021,1,0,0,0,0,0,0,0
5038,2021-02-03,6,-2,116,0,0,1,0,0,0,0,4849.0,5175.0,4463.0,4601.0,4742.0,4566.0,5122.0,5149.0,5327.0,5135.0,2,3,2021,1,0,0,0,0,0,0,0
4502,2021-02-04,4,0,116,0,0,0,1,0,0,0,5038.0,4849.0,5175.0,4463.0,4601.0,4742.0,4566.0,5122.0,5149.0,5327.0,2,4,2021,1,0,0,0,0,0,0,0
4737,2021-02-05,7,2,122,0,0,0,0,1,0,0,4502.0,5038.0,4849.0,5175.0,4463.0,4601.0,4742.0,4566.0,5122.0,5149.0,2,5,2021,1,0,0,0,0,0,0,0
4319,2021-02-06,11,4,113,0,0,0,0,0,1,0,4737.0,4502.0,5038.0,4849.0,5175.0,4463.0,4601.0,4742.0,4566.0,5122.0,2,6,2021,1,0,0,0,0,0,0,0
3927,2021-02-07,6,1,122,0,0,0,0,0,0,1,4319.0,4737.0,4502.0,5038.0,4849.0,5175.0,4463.0,4601.0,4742.0,4566.0,2,7,2021,0,0,0,0,0,1,0,0
4969,2021-02-08,3,-1,113,1,0,0,0,0,0,0,3927.0,4319.0,4737.0,4502.0,5038.0,4849.0,5175.0,4463.0,4601.0,4742.0,2,8,2021,1,0,0,0,0,0,0,0
4671,2021-02-09,4,-1,113,0,1,0,0,0,0,0,4969.0,3927.0,4319.0,4737.0,4502.0,5038.0,4849.0,5175.0,4463.0,4601.0,2,9,2021,1,0,0,0,0,0,0,0
4300,2021-02-10,6,2,113,0,0,1,0,0,0,0,4671.0,4969.0,3927.0,4319.0,4737.0,4502.0,5038.0,4849.0,5175.0,4463.0,2,10,2021,1,0,0,0,0,0,0,0
1707,2021-02-11,7,3,113,0,0,0,1,0,0,0,4300.0,4671.0,4969.0,3927.0,4319.0,4737.0,4502.0,5038.0,4849.0,5175.0,2,11,2021,0,0,0,0,0,1,0,0
